"","X.1","X","INSTNM","CITY","STABBR","ZIP","ADM_RATE","SATMT75","ACTMT75","COMP_ORIG_YR4_RT","PCIP11","PCIP14","PCIP15","PCIP26","PCIP27","PCIP29","PCIP40","PCIP41","C150_4","MN_EARN_WNE_INC1_P10","MN_EARN_WNE_INC2_P10","MN_EARN_WNE_INC3_P10","PCT90_EARN_WNE_P6","ICLEVEL","PELL_COMP_ORIG_YR6_RT","NOPELL_COMP_ORIG_YR6_RT","COMPL_RPY_3YR_RT","PELL_RPY_3YR_RT","NOPELL_RPY_3YR_RT","COMPL_RPY_1YR_RT","PELL_RPY_1YR_RT","NOPELL_RPY_1YR_RT","COSTT4_A","LO_INC_COMP_ORIG_YR4_RT","MD_INC_COMP_ORIG_YR4_RT","HI_INC_COMP_ORIG_YR4_RT"
"91",2361,2361,"Princeton University","Princeton","NJ","08544-0070",0.0785,800,35,0.7904411765,0,0.1819,0,0.0897,0.0288,0,0.0705,0,0.9601,105700,110400,109300,"NULL",1,0.3602150538,0.8372093023,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",NA,"PrivacySuppressed","PrivacySuppressed",53934,0.8314606742,0.7475728155,0.8
"35",2135,2135,"University of Missouri-Kansas City","Kansas City","MO","64110",0.5174,700,27,0.4654002714,0.0206,0.0383,0,0.0543,0.0091,0,0.0515,0,0.4752,49400,55400,58900,"NULL",1,0.4109195402,0.4926650367,"0.885106383","0.6853146853","0.8166786485",0.8813953488,"0.6977040816","0.8405453468",25652,0.3880126183,0.4862068966,0.5558823529
"11",597,597,"Colorado College","Colorado Springs","CO","80903",0.2299,710,31,0.7826086957,0.0123,0,0,0.1582,0.0123,0,0.058,0,0.8984,46800,42600,50900,"NULL",1,0.65625,0.776119403,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",NA,"PrivacySuppressed","PrivacySuppressed",52150,NA,NA,0.7628205128
"126",4239,4239,"Marquette University","Milwaukee","WI","53233",0.5521,650,29,0.7154471545,0.0161,0.1079,0,0.121,0.0048,0,0.0054,0,0.8013,68300,60600,63100,"NULL",1,0.7009569378,0.8275132275,"0.9521800281","0.8552845528","0.9495412844",0.9564947172,"0.8761061947","0.9544498949",44953,0.5879828326,0.6772334294,0.7633928571
"34",2003,2003,"St Olaf College","Northfield","MN","55057-1098",0.6038,700,32,0.8463035019,0.0104,0,0,0.1497,0.0872,0,0.112,0,0.8636,50100,49900,51300,"NULL",1,0.7793103448,0.7674418605,"PrivacySuppressed","0.9155555556","0.9748201439",NA,"PrivacySuppressed","PrivacySuppressed",48850,NA,NA,0.8480243161
"115",1309,1309,"Drake University","Des Moines","IA","50311-4505",0.6588,660,29,0.7041343669,0.0072,0,0,0.0708,0.0168,0,0.0132,0,0.7445,69100,65700,68800,"NULL",1,0.6480686695,0.6767955801,"0.9687924016","0.9170731707","0.9468911917",0.9782051282,"0.9272727273","0.9728682171",41252,0.5925925926,0.7085427136,0.7363636364
"2",165,165,"Hendrix College","Conway","AR","72032-3080",0.8297,670,31,0.4259259259,0.0129,0,0,0.1942,0.0065,0,0.0712,0,0.7172,46400,46000,46600,"NULL",1,0.4948453608,0.5502645503,"0.9358974359","0.8549618321","0.9127906977",0.9344262295,"0.8148148148","0.9288537549",47904,0.5283018868,0.4444444444,0.3831168831
"9",474,474,"University of the Pacific","Stockton","CA","95211-0197",0.3778,690,31,0.6166281755,0.0154,0.0575,0.0182,0.136,0.0154,0,0.014,0,0.5794,89900,76500,72100,"NULL",1,0.5837320574,0.8010471204,"0.9511400651","0.8724832215","0.9268292683",0.9153046062,"0.8173784978","0.8990228013",49827,0.7090301003,0.628,0.5205047319
"19",1206,1206,"Wheaton College","Wheaton","IL","60187-5593",0.6871,700,31,0.8101851852,0.0086,0.0086,0,0.0479,0.0257,0,0.0479,0,0.9038,48900,47400,49200,"NULL",1,0.6825396825,0.7953488372,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",NA,"PrivacySuppressed","PrivacySuppressed",39996,0.8108108108,0.8,0.8151658768
"50",3046,3046,"Ohio State University-Main Campus","Columbus","OH","43210",0.64,710,31,0.5403476102,0.0067,0.1032,3e-04,0.065,0.0107,0,0.0108,0,0.8243,44600,48000,51500,"NULL",1,0.528988764,0.6386574074,"0.9228966198","0.7844228095","0.8986429177",0.8960485675,"0.7667557208","0.8817367159",26351,0.4242977016,0.5190197513,0.6301598664
"94",2717,2717,"Vassar College","Poughkeepsie","NY","12604",0.2284,740,33,0.8687150838,0.0117,0,0,0.1189,0.0285,0,0.0452,0,0.9072,55200,59200,53500,"NULL",1,0.7674418605,0.899122807,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",NA,"PrivacySuppressed","PrivacySuppressed",57385,NA,NA,0.8737373737
"113",1213,1213,"Butler University","Indianapolis","IN","46208",0.6589,640,30,0.6777777778,0.0163,0,0,0.0443,0.0047,0,0.0524,0,0.7306,68100,65600,67700,"NULL",1,0.612565445,0.6659242762,"0.9771197847","0.9307958478","0.9627039627",0.9791666667,"0.9506493506","0.96069869",45748,0.5578947368,0.6420454545,0.7171492205
"72",4245,4245,"Milwaukee School of Engineering","Milwaukee","WI","53202-3109",0.5695,680,31,0.4830132939,0,0.7277,0.0362,0,0,0,0,0,0.5582,61000,66300,67800,"NULL",1,0.3215859031,0.2295597484,"PrivacySuppressed","0.8912386707","0.9223300971",NA,"0.9118329466","0.9523809524",44227,0.3362068966,0.4507042254,0.5517241379
"NA.12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45",2678,2678,"Stony Brook University","Stony Brook","NY","11794",0.4006,700,30,0.5633846154,0.0438,0.0551,0,0.1239,0.0474,0,0.025,0,0.6968,59000,59100,58800,"NULL",1,0.5443037975,0.6169036335,"0.9186396901","0.8466208013","0.8774640384",0.9260660248,"0.8689388616","0.8983606557",19701,0.5589622642,0.5800970874,0.5563258232
"109",769,769,"Florida Institute of Technology","Melbourne","FL","32901-6975",0.5905,640,29,0.1327241079,0.023,0.4453,0.0096,0.119,0.0211,0,0.0787,0,0.5461,55400,59700,57800,"NULL",1,0.2333333333,0.1962616822,"0.941011236","0.5823367065","0.7828638498",0.924,"0.5013665351","0.747099768",51010,0.0732368897,0.1424460432,0.2515090543
"32",1950,1950,"Gustavus Adolphus College","Saint Peter","MN","56082-1498",0.6343,670,29,0.713740458,0.0162,0,0,0.1244,0.0291,0,0.063,0,0.8304,51000,55600,59200,"NULL",1,0.7619047619,0.709375,"0.9815498155","0.9196428571","0.9719789842",0.9723127036,"0.9342105263","0.969858156",46120,0.6,0.7916666667,0.7015873016
"75",256,256,"University of California-Los Angeles","Los Angeles","CA","90095-1405",0.2711,740,33,0.7276379784,0.0134,0.0835,0,0.1549,0.0465,0,0.017,0,0.9151,73100,70000,74500,"NULL",1,0.6597307222,0.820496499,"0.9351459773","0.8868778281","0.9422700587",0.9479743192,"0.9171079899","0.9478182636",31216,0.6605821411,0.7449297972,0.8077464789
"102",4077,4077,"University of Virginia-Main Campus","Charlottesville","VA","22903-2628",0.2955,740,33,0.8442118227,0.0132,0.1345,0,0.0706,0.0183,0,0.0389,0,0.9343,71900,69300,78800,"NULL",1,0.6340909091,0.8690330477,"0.9726183685","0.913446677","0.9678018576",0.9691848907,"0.9211563732","0.9737003058",23986,0.7552870091,0.8337349398,0.8826879271
"37",2157,2157,"Saint Louis University","Saint Louis","MO","63103-2097",0.6438,670,29,0.603916614,0.0086,0.0454,6e-04,0.0485,0.0055,0,0.0135,0,0.702,59800,57500,61800,"NULL",1,0.5099099099,0.6272493573,"0.9571230982","0.8442265795","0.914586071",0.9414824447,"0.7908025248","0.9294258373",51574,0.4524421594,0.5863746959,0.6883780332
"60",3563,3563,"Furman University","Greenville","SC","29613-6162",0.7748,670,28,0.723880597,0.0149,0,0,0.0849,0.0119,0,0.0984,0,0.8287,51500,54000,57200,"NULL",1,0.6666666667,0.7446808511,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",NA,"PrivacySuppressed","PrivacySuppressed",52829,0.6617647059,0.75,0.7277227723
"54",3301,3301,"Drexel University","Philadelphia","PA","19104",0.7486,680,30,0.5314455054,0.0633,0.1845,0.0108,0.0423,0.0064,0,0.0074,0,0.6534,81400,66700,67900,"NULL",1,0.5474178404,0.6505295008,"0.9574991219","0.8542654028","0.9351245085",0.9525536416,"0.8739088264","0.9424418605",52535,0.4895448954,0.4974160207,0.5731034483
"104",4375,4375,"Stanford University","Stanford","CA","94305",0.0661,790,35,0.8284789644,0.0834,0.1557,0.0397,0.0606,0.0268,0,0.0595,0,0.952,134100,115300,126100,"NULL",1,0.5686900958,0.9700704225,"PrivacySuppressed","0.9138755981","0.9672897196",0.9659498208,"0.9282296651","0.9671772429",57755,0.8076923077,0.8152173913,0.8584070796
"14",719,719,"American University","Washington","DC","20016-8001",0.442,670,29,0.7093311313,0.0034,0,0,0.0217,0.0103,0,0.016,0,0.7675,62900,60400,64400,"NULL",1,0.6226993865,0.671641791,"0.9438669439","0.872255489","0.9320754717",0.9355608592,"0.8870431894","0.9359683794",53531,0.6342592593,0.6588235294,0.7486486486
"74",253,253,"University of California-Berkeley","Berkeley","CA","94720",0.2161,770,34,0.5008272276,0.0121,0.122,0,0.1172,0.0356,0,0.032,0,0.9068,73000,72500,76800,"NULL",1,0.4622708039,0.6951501155,"0.9438068856","0.8744693754","0.9396092362",0.9347360913,"0.871446863","0.9229559748",32445,0.4477531132,0.5084473049,0.5784399649
"43",2621,2621,"Polytechnic Institute of New York University","Brooklyn","NY","11201",0.6713,720,33,0.4817927171,0.163,0.6196,0.1159,0.0471,0.0362,0,0.0036,0,0.6158,74800,75600,76000,"NULL",1,0.5,0.4636363636,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0.9463087248,"0.899543379","0.9273743017",46318,0.5393939394,0.41,0.4565217391
"NA.13",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"85",1732,1732,"Harvard University","Cambridge","MA","02138",0.0581,790,35,0.8249516441,0.0191,0.0337,0,0.1329,0.0544,0,0.0471,0,0.9696,134100,130100,145500,"NULL",1,0.3409090909,0.9412844037,"0.9043478261","0.7294117647","0.8612099644",0.8879310345,"0.7053571429","0.9037800687",56000,0.8202247191,0.8123324397,0.8564814815
"56",3419,3419,"Pennsylvania State University-Main Campus","University Park","PA","16802-1503",0.5243,670,30,0.5574251115,0.0545,0.1338,0,0.05,0.012,0,0.0278,0.0033,0.8557,49600,50300,58300,"NULL",1,0.5238163149,0.643688567,"0.944280316","0.8005650216","0.9193446755",0.9350026638,"0.795543722","0.922567881",31002,0.4259259259,0.5199912607,0.657086224
"26",1828,1828,"Calvin College","Grand Rapids","MI","49546",0.7546,690,29,0.6449787836,0.005,0.0652,0,0.0915,0.0075,0,0.0163,0,0.7716,42100,40300,46400,"NULL",1,0.6,0.6681514477,"0.9764890282","0.9128440367","0.9724137931",0.9664516129,"0.9115384615","0.9609483961",37559,0.4642857143,0.6397849462,0.6968215159
"119",2470,2470,"Clarkson University","Potsdam","NY","13699",0.7609,660,29,0.6627737226,0.026,0.4943,0.0943,0.0813,0.0211,0,0.0358,0,0.6981,65700,67900,71400,"NULL",1,0.6703296703,0.641025641,"PrivacySuppressed","0.9387254902","0.9712460064",0.9706666667,"0.905697446","0.9601226994",51966,0.584,0.7005988024,0.6717557252
"10",507,507,"University of San Diego","San Diego","CA","92110-2492",0.4259,670,30,0.7585199611,0.0038,0.0388,0,0.057,0.0084,0,0.0114,0,0.7579,68600,67000,64600,"NULL",1,0.6569037657,0.798013245,"0.9680981595","0.8928571429","0.9463171036",0.959651036,"0.9030172414","0.9583333333",54558,0.8012232416,0.7647058824,0.7265135699
"89",1970,1970,"University of Minnesota-Twin Cities","Minneapolis","MN","55455-0213",0.4951,740,30,0.6423605223,0.0192,0.1024,3e-04,0.09,0.0235,0,0.0236,0,0.7294,56500,53300,55500,"NULL",1,0.5482773288,0.6689542484,"0.9547409379","0.8573631457","0.9394941634",0.9386293897,"0.8572043937","0.9254846168",23304,0.552456034,0.6147859922,0.7128603104
"112",1140,1140,"Millikin University","Decatur","IL","62522-2084",0.5545,560,29,0.544141252,0,0,0,0.0382,0.0145,0,0.0127,0,0.5516,43000,46200,49600,"NULL",1,0.5310344828,0.559602649,"0.9050894085","0.7772020725","0.896499239",0.9323308271,"0.8111298482","0.9192751236",40242,0.4414893617,0.592039801,0.5854700855
"86",1755,1755,"Massachusetts Institute of Technology","Cambridge","MA","02139-4307",0.0895,800,36,0.7275985663,0.1563,0.4481,0,0.087,0.0633,0,0.0999,0,0.9281,115000,131700,131600,"NULL",1,0.4273504274,0.8206278027,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",0.9732142857,"0.923566879","0.9769053118",55270,0.765625,0.7430555556,0.7027972028
"40",2441,2441,"Barnard College","New York","NY","10027-6598",0.2254,710,31,0.853125,0.0034,0,0,0.0912,0.0287,0,0.0101,0,0.8964,72400,69100,72000,"NULL",1,0.7682119205,0.8965517241,"PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",NA,"PrivacySuppressed","PrivacySuppressed",57835,0.8181818182,0.8658536585,0.8705035971
"13",702,702,"Trinity College","Hartford","CT","06106-3100",0.3374,700,29,0.7086092715,0.0165,0.0331,0,0.079,0.0055,0,0.0092,0,0.8339,49200,68100,71800,"NULL",1,0.5614035088,0.7329545455,"0.9513677812","0.8905109489","0.9440559441",NA,"PrivacySuppressed","PrivacySuppressed",57575,0.484375,0.7402597403,0.7826086957
"123",3035,3035,"Ohio Northern University","Ada","OH","45810-1599",0.8053,660,29,0.6207407407,0.0064,0.177,0.0362,0.0917,0.0085,0,0.0128,0,0.7022,66900,63400,71500,"NULL",1,0.6403508772,0.6959798995,"0.9740420272","0.8955916473","0.9594046008",0.9813736903,"0.9261744966","0.9696586599",47944,0.4639175258,0.6100917431,0.6694444444
"29",1881,1881,"Michigan State University","East Lansing","MI","48824-1046",0.7056,680,28,0.6635157546,0.01,0.0522,0.022,0.1006,0.0108,0,0.0165,0,0.7913,62800,54900,58700,"NULL",1,0.6618110236,0.7832988268,"0.9378374209","0.8356600539","0.9285714286",0.9280623907,"0.8269076305","0.9317859674",22946,0.5549488055,0.6368563686,0.7277436063
