"","INSTNM","CITY","STABBR","ZIP","ADM_RATE","SATMT75","ACTMT75","COMP_ORIG_YR4_RT","PCIP11","PCIP14","PCIP15","PCIP26","PCIP27","PCIP29","PCIP40","PCIP41","C150_4","MN_EARN_WNE_INC1_P10","MN_EARN_WNE_INC2_P10","MN_EARN_WNE_INC3_P10","PCT90_EARN_WNE_P6","ICLEVEL"
"3629","University of South Carolina-Columbia","Columbia","SC","29208","0.6986","650","27","0.6241752441","0.0078","0.0573","0","0.0959","0.008","0","0.0127","0","0.7019","50700","47800","50800","67200",1
"3630","University of South Carolina-Lancaster","Lancaster","SC","29720","0.8891","530","20","0.2191780822","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","51000",2
"3631","University of South Carolina-Salkehatchie","Allendale","SC","29810","0.7842","495","17","0.1543026706","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","42600",2
"3632","University of South Carolina-Sumter","Sumter","SC","29150-2498","0.6086","540","21","0.0559006211","0","0","0","0","0","0","0","0","NULL","32200","38700","33600","47900",2
"3633","University of South Carolina-Union","Union","SC","29379","0.75","520","17","0.1666666667","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","46900",2
"3634","Coastal Carolina University","Conway","SC","29526","0.7439","560","NULL","0.3932403433","0.0203","0","0","0.1117","0.0065","0","0.0036","0","0.4628","36200","37600","43600","52500",1
"3635","South Carolina State University","Orangeburg","SC","29117-0001","0.9581","470","NULL","0.2527121889","0.042","0.0164","0.0547","0.0894","0.0182","0","0.0128","0","0.3463","32300","35800","33500","43400",1
"3636","University of South Carolina-Upstate","Spartanburg","SC","29303-4999","0.5866","530","23","0.455704698","0.0481","0","0.0083","0.0185","0.0037","0","0.0009","0","0.3872","37600","38500","43500","58500",1
"3637","Sherman College of Straight Chiropractic","Spartanburg","SC","29316","NULL","NULL","NULL","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",1
"3638","Spartanburg Methodist College","Spartanburg","SC","29301-5899","0.6978","500","20","0.2920110193","0","0","0","0","0","0","0","0","NULL","28300","29600","37000","43000",2
"3639","Spartanburg Community College","Spartanburg","SC","29303","NULL","NULL","NULL","0.1069682152","0.0378","0","0.06","0","0","0","0","0","NULL","24800","31800","33600","47000",2
"3640","Central Carolina Technical College","Sumter","SC","29150-2499","NULL","NULL","NULL","0.1355785838","0.051","0","0.034","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","46500",2
"3641","Sumter Beauty College","Sumter","SC","29150-2871","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",3
"3642","Tri-County Technical College","Pendleton","SC","29670","NULL","NULL","NULL","0.037470726","0.0217","0","0.0566","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","47600",2
"3643","Trident Technical College","Charleston","SC","29423-8067","NULL","NULL","NULL","0.0874536465","0.0471","0","0.0449","0","0","0","0","0","NULL","29700","37500","39700","54800",2
"3644","Voorhees College","Denmark","SC","29042","0.5061","NULL","NULL","0.220657277","0.0185","0","0","0.1019","0","0","0","0","0.3387","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","42000",1
"3645","Williamsburg Technical College","Kingstree","SC","29556-4197","NULL","NULL","NULL","PrivacySuppressed","0.0166","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","40300",2
"3646","Winthrop University","Rock Hill","SC","29733","0.6841","570","NULL","0.4878661088","0.0053","0","0","0.047","0.0064","0","0.0117","0","0.5773","35800","38700","39700","46700",1
"3647","Wofford College","Spartanburg","SC","29303-3663","0.6482","640","28","0.7475728155","0.0109","0","0","0.1907","0.0245","0","0.0681","0","0.7906","65500","50800","56500","63300",1
"3648","York Technical College","Rock Hill","SC","29730","NULL","NULL","NULL","0.1175422974","0.0326","0","0.071","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","44300",2
"3649","Augustana University","Sioux Falls","SD","57197-0001","0.797","NULL","27","0.5497512438","0.015","0.003","0","0.1141","0.018","0","0.033","0","0.6513","37700","49000","49700","55200",1
"3650","Black Hills Beauty College","Rapid City","SD","57701","NULL","NULL","NULL","0.6133333333","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",2
"3651","Black Hills State University","Spearfish","SD","57799-9500","0.9417","NULL","23","0.1982851018","0","0","0.0117","0.0489","0.0137","0","0.0176","0","0.286","34400","39100","40200","53400",1
"3652","Kilian Community College","Sioux Falls","SD","57103-7020","NULL","NULL","NULL","0.087628866","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","38300",2
"3653","Dakota State University","Madison","SD","57042-1799","0.9156","540","24","0.3175675676","0.293","0","0","0.022","0","0","0.0037","0","0.3679","37300","41100","46200","54800",1
"3654","Dakota Wesleyan University","Mitchell","SD","57301-4398","0.7605","620","26","0.4040816327","0.03","0","0","0.07","0.02","0","0","0","0.416","35800","39600","38500","52900",1
"3655","Headlines Academy Inc","Rapid City","SD","57701","NULL","NULL","NULL","0.7272727273","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",2
"3656","Lake Area Technical Institute","Watertown","SD","57201-0730","0.5978","NULL","NULL","0.6529774127","0.0288","0","0.1025","0","0","0","0","0","NULL","35700","37500","38500","54600",2
"3657","Avera McKennan Hospital School of Radiologic Technology","Sioux Falls","SD","57117-5045","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",2
"3658","Mitchell Technical Institute","Mitchell","SD","57301","NULL","NULL","NULL","0.601910828","0.0726","0","0.1452","0","0","0","0","0","NULL","38000","42300","52200","68200",2
"3659","Mount Marty College","Yankton","SD","57078-3724","0.6947","NULL","26","0.4272300469","0.0234","0","0","0.0327","0.0093","0","0.0187","0","0.5108","31200","39000","42600","53000",1
"3660","National American University-Rapid City","Rapid City","SD","57701-2823","NULL","NULL","NULL","0.160461653","0.0673","0","0","0","0","0","0","0","0.2833","30500","45600","58700","62500",1
"3661","National American University-Sioux Falls","Sioux Falls","SD","57108-4293","NULL","NULL","NULL","0.160461653","0.0192","0","0","0","0","0","0","0","0.2903","30500","45600","58700","62500",1
"3662","Sioux Falls Seminary","Sioux Falls","SD","57105","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",1
"3663","Northern State University","Aberdeen","SD","57401-7198","0.9374","510","24","0.3612774451","0.0331","0","0","0.043","0.0066","0","0.0066","0","0.3723","31000","37700","38800","48100",1
"3664","Oglala Lakota College","Kyle","SD","57752-0490","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","0.1194","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","36200",1
"3665","Presentation College","Aberdeen","SD","57401-1280","0.75","440","22","0.3823529412","0","0","0","0.0493","0","0","0.0493","0","0.3922","34600","42600","43000","58000",1
"3666","Avera Sacred Heart Hospital","Yankton","SD","57078-3899","NULL","NULL","NULL","NULL","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",2
"3667","South Dakota School of Mines and Technology","Rapid City","SD","57701-3995","0.8786","660","29","0.3801169591","0.0478","0.7574","0","0","0.0184","0","0.0882","0","0.4574","49400","59500","61400","83900",1
"3668","South Dakota State University","Brookings","SD","57007-1898","0.923","NULL","26","0.4154668861","0.0118","0.0611","0.0535","0.0594","0.0088","0","0.0041","0","0.5869","43400","44900","49300","63500",1
"3669","Sinte Gleska University","Mission","SD","57555-0105","NULL","NULL","NULL","PrivacySuppressed","0.0122","0","0.0488","0","0","0","0","0","0.0814","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","35800",1
"3670","University of Sioux Falls","Sioux Falls","SD","57105-1699","0.7276","560","25","0.4228723404","0.0034","0","0","0.0411","0.0171","0","0.0034","0","0.5864","34900","39600","43400","50100",1
"3671","Sanford Medical Center","Sioux Falls","SD","57117-5039","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",2
"3672","Sisseton Wahpeton College","Sisseton","SD","57262","NULL","NULL","NULL","PrivacySuppressed","0","0","0.0313","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","38300",2
"3673","Southeast Technical Institute","Sioux Falls","SD","57107-1301","NULL","NULL","NULL","0.3137472284","0.1411","0","0.1021","0","0","0","0","0","NULL","35300","41200","39800","56800",2
"3674","Stewart School","Sioux Falls","SD","57104","NULL","NULL","NULL","0.8117647059","0","0","0","0","0","0","0","0","NULL","NULL","NULL","NULL","31700",2
"3675","University of South Dakota","Vermillion","SD","57069-2390","0.8893","580","26","0.4309782609","0.0056","0","0","0.0455","0.004","0","0.0223","0","0.4816","45300","44300","44000","58700",1
"3676","Western Dakota Technical Institute","Rapid City","SD","57703-4018","NULL","NULL","NULL","0.2281746032","0.0689","0","0.0879","0","0","0","0","0","NULL","31100","36600","40000","50000",2
"3677","American Baptist College","Nashville","TN","37207-9980","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","1","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",1
"3678","Aquinas College","Nashville","TN","37205","0.7671","NULL","22","0.2213740458","0","0","0","0","0","0","0","0","0.2564","37300","53000","66300","72200",1
"3679","Arnolds Beauty School","Milan","TN","38358","NULL","NULL","NULL","0.5227272727","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",3
"3680","Tennessee College of Applied Technology-Athens","Athens","TN","37371-0848","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","51500",2
"3681","Austin Peay State University","Clarksville","TN","37044","0.8759","530","22","0.2575896964","0.0304","0","0.0501","0.0257","0.0074","0","0.0257","0","0.3409","34700","40200","39100","55600",1
"3682","Baptist Memorial College of Health Sciences","Memphis","TN","38104","0.68","NULL","25","0.5122699387","0","0","0","0","0","0","0","0","0.6429","51500","58900","63200","74200",1
"3683","Belmont University","Nashville","TN","37212-3757","0.8151","630","27","0.6773367478","0.003","0","0","0.0294","0.0071","0","0.0051","0","0.6789","41800","45000","46000","62700",1
"3684","Bethel University","McKenzie","TN","38201","0.482","533","21","0.3712765957","0","0","0","0.03","0.0023","0","0.0023","0","0.3205","31100","45100","50400","64200",1
"3685","Bryan College-Dayton","Dayton","TN","37321","0.5718","600","25","0.3970588235","0","0","0","0.0227","0.0113","0","0","0","0.5628","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","64400",1
"3686","Carson-Newman University","Jefferson City","TN","37760","0.6725","570","25","0.4718446602","0.0184","0","0","0.0153","0.0061","0","0.0031","0","0.4454","36500","42900","42800","51800",1
"3687","Chattanooga State Community College","Chattanooga","TN","37406-1097","NULL","NULL","NULL","0.2146666667","0.0009","0.0137","0.0684","0","0","0","0","0","NULL","27900","35500","35400","51800",2
"3688","Christian Brothers University","Memphis","TN","38104","0.479","630","26","0.4210526316","0.0204","0.0898","0","0.0612","0.0041","0","0.0898","0","0.5216","42700","49300","55800","62400",1
"3689","Pentecostal Theological Seminary","Cleveland","TN","37320-3330","NULL","NULL","NULL","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed",1
"3690","Cleveland State Community College","Cleveland","TN","37312","1","NULL","19","0.1657458564","0.0017","0","0.0466","0","0","0","0","0.0069","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","48200",2
"3691","Columbia State Community College","Columbia","TN","38401","NULL","NULL","NULL","0.1697027804","0","0","0","0","0","0","0","0.0169","NULL","29000","34800","40000","50600",2
"3692","Concorde Career College-Memphis","Memphis","TN","38137-0132","1","NULL","NULL","0.6120481928","0","0","0","0","0","0","0","0","NULL","22800","30000","PrivacySuppressed","35200",2
"3693","Tennessee College of Applied Technology-Covington","Covington","TN","38019","NULL","NULL","NULL","PrivacySuppressed","0.0504","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",2
"3694","Cumberland University","Lebanon","TN","37087","0.4863","570","24","0.3371428571","0.005","0","0","0.0452","0.0101","0","0","0","0.341","33200","41000","42300","60300",1
"3695","Lipscomb University","Nashville","TN","37204-3951","0.5125","610","27","0.5177165354","0.0066","0.0308","0","0.0967","0.0154","0","0.0066","0","0.6269","50300","44200","44400","60600",1
"3696","Tennessee College of Applied Technology-Dickson","Dickson","TN","37055","NULL","NULL","NULL","0.1526717557","0","0.0102","0.0355","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","43100",2
"3697","Daymar Institute-Nashville","Nashville","TN","37214","NULL","NULL","NULL","0.3564013841","0.0499","0","0","0","0","0","0","0","0.4015","22200","28400","31000","39200",1
"3698","Dyersburg State Community College","Dyersburg","TN","38024-2411","1","NULL","27","0.1396332863","0.0268","0","0","0","0","0","0","0.0134","NULL","27200","33500","39000","49500",2
"3699","East Tennessee State University","Johnson City","TN","37614","0.8506","540","24","0.3730221519","0.0178","0","0.0355","0.0424","0.0044","0","0.0182","0","0.4441","36200","38400","45200","54500",1
"3700","Chattanooga College Medical Dental and Technical Careers","Chattanooga","TN","37415","NULL","NULL","NULL","0.4842767296","0.1105","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","34500",2
"3701","Tennessee College of Applied Technology-Elizabethton","Elizabethton","TN","37643","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","43600",2
"3702","Emmanuel Christian Seminary","Johnson City","TN","37601-9989","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",1
"3703","Fayetteville College of Cosmetology Arts and Sciences","Fayetteville","TN","37334-0135","NULL","NULL","NULL","0.5961538462","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",3
"3704","Fisk University","Nashville","TN","37208-4501","0.9817","530","23","0.3488372093","0.0291","0","0","0.165","0.0097","0","0.0874","0","0.4528","35600","35900","37300","47800",1
"3705","Welch College","Nashville","TN","37205-0117","NULL","NULL","NULL","0.2716049383","0","0","0","0.0345","0","0","0","0","0.5161","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","45200",1
"3706","Freed-Hardeman University","Henderson","TN","38340-2399","0.9917","600","25","0.4841849148","0.0144","0","0","0.0827","0.0072","0","0.0108","0","0.5147","34700","40600","42100","51100",1
"3707","Tennessee College of Applied Technology-Harriman","Harriman","TN","37748-5849","NULL","NULL","NULL","PrivacySuppressed","0.0574","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","44400",2
"3708","Tennessee College of Applied Technology-Hartsville","Hartsville","TN","37074-2028","NULL","NULL","NULL","PrivacySuppressed","0","0","0.1044","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","42600",2
"3709","Hiwassee College","Madisonville","TN","37354-4001","0.6303","560","22","PrivacySuppressed","0","0","0","0","0","0","0","0","0.292","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","46700",1
"3710","Tennessee College of Applied Technology-Hohenwald","Hohenwald","TN","38462-2201","NULL","NULL","NULL","0.056122449","0","0","0.0459","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","42800",2
"3711","Tennessee College of Applied Technology-Jacksboro","Jacksboro","TN","37757","NULL","NULL","NULL","PrivacySuppressed","0.0328","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","44600",2
"3712","Jackson State Community College","Jackson","TN","38301-3797","NULL","NULL","NULL","0.063913471","0","0","0.0199","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","48500",2
"3713","John A Gupton College","Nashville","TN","37203-2954","NULL","NULL","NULL","0.4545454545","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",2
"3714","Johnson University","Knoxville","TN","37998","0.6126","610","24","0.425","0","0","0","0","0","0","0","0","0.5761","26900","29000","34100","47400",1
"3715","Paul Mitchell the School-Nashville","Antioch","TN","37013","NULL","NULL","NULL","0.5887850467","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",3
"3716","King University","Bristol","TN","37620-2699","0.6648","530","24","0.6430107527","0.0494","0","0","0.0472","0.0215","0","0.0086","0","0.4087","PrivacySuppressed","45300","53200","69900",1
"3717","South College","Knoxville","TN","37909-0000","NULL","NULL","NULL","0.2398042414","0","0","0","0.0315","0","0","0","0","0.2","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","46900",1
"3718","Knoxville Institute of Hair Design","Knoxville","TN","37917-6312","NULL","NULL","NULL","NULL","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","NULL",3
"3719","Lane College","Jackson","TN","38301-4598","0.3346","NULL","16","0.2802937576","0.0521","0","0","0.1401","0.013","0","0.013","0","0.3364","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","36700",1
"3720","Le Moyne-Owen College","Memphis","TN","38126-6595","0.4018","NULL","16","0.0617283951","0.0222","0","0","0.0444","0.0111","0","0.0333","0","0.1489","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","41800",1
"3721","Lee University","Cleveland","TN","37311","0.6123","610","26","0.4114349776","0.0091","0","0","0.0213","0.0015","0","0.0046","0","0.4901","34100","33300","36400","45800",1
"3722","Lincoln Memorial University","Harrogate","TN","37752-9900","0.6497","545","24","0.409252669","0","0","0","0.0143","0.0029","0","0.0114","0","0.518","37000","40500","51900","59200",1
"3723","Tennessee College of Applied Technology-Livingston","Livingston","TN","38570","NULL","NULL","NULL","0.0898876404","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","43600",2
"3724","Martin Methodist College","Pulaski","TN","38478-2799","NULL","NULL","NULL","0.2385620915","0.0316","0","0","0.057","0","0","0","0","0.4922","26400","35300","37200","44700",1
"3725","Maryville College","Maryville","TN","37804-5907","0.6632","600","26","0.1893687708","0.0089","0","0","0.0889","0.0178","0","0","0","0.5405","38400","38400","45100","49600",1
"3726","Tennessee College of Applied Technology-McKenzie","McKenzie","TN","38201","NULL","NULL","NULL","PrivacySuppressed","0","0","0.0978","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","42200",2
"3727","Genesis Career College-Cookeville","Cookeville","TN","38501-1907","NULL","NULL","NULL","0.5542168675","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","33500",3
"3728","Meharry Medical College","Nashville","TN","37208","NULL","NULL","NULL","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","165600",1
"3729","Memphis College of Art","Memphis","TN","38104-2764","0.454","540","23","0.36","0","0","0","0","0","0","0","0","0.3214","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","39900",1
"3730","Tennessee College of Applied Technology-Memphis","Memphis","TN","38105-3604","NULL","NULL","NULL","0.0671936759","0","0","0.0164","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","52400",2
"3731","University of Memphis","Memphis","TN","38152","0.6632","NULL","24","0.3678901653","0.0045","0.0243","0.0108","0.0302","0.0075","0","0.0138","0","0.3822","37300","44400","46300","57900",1
"3732","Memphis Theological Seminary","Memphis","TN","38104-4395","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed",1
"3733","Victory University","Memphis","TN","38111-1375","0.3109","NULL","NULL","0.118556701","0","0","0","0.0397","0","0","0","0","0.1034","33500","44200","55900","56100",1
"3734","Middle Tennessee State University","Murfreesboro","TN","37132","0.7028","570","24","0.3843161343","0.0075","0","0.0323","0.0326","0.008","0","0.0098","0","0.4485","37600","40400","43600","54700",1
"3735","Middle Tennessee School of Anesthesia Inc","Madison","TN","37115","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",1
"3736","Milligan College","Milligan College","TN","37682","0.7032","610","26","0.5465587045","0.0203","0","0","0.0355","0.0102","0","0.0152","0","0.6527","40700","37600","43100","65600",1
"3737","Tennessee College of Applied Technology-Morristown","Morristown","TN","37813-2094","NULL","NULL","NULL","PrivacySuppressed","0","0","0.0347","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","47300",2
"3738","Motlow College","Tullahoma","TN","37388","0.3955","490","19","0.1588594705","0.0017","0","0.0291","0","0","0","0","0.0086","NULL","27000","31300","35700","48300",2
"3739","Tennessee College of Applied Technology-Murfreesboro","Murfreesboro","TN","37129-3311","NULL","NULL","NULL","0.1083333333","0","0","0.0378","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","45600",2
"3740","Lincoln College of Technology-Nashville","Nashville","TN","37206","NULL","NULL","NULL","0.6660436137","0","0","0","0","0","0","0","0","NULL","36800","41700","44800","57800",2
"3741","Nashville College of Medical Careers","Madison","TN","37115-2120","NULL","NULL","NULL","0.702020202","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","32800",3
"3742","Nashville State Community College","Nashville","TN","37209-4515","NULL","NULL","NULL","0.1317567568","0.0475","0","0.0908","0","0","0","0","0.0223","NULL","30200","38000","38300","47000",2
"3743","Tennessee College of Applied Technology-Newbern","Newbern","TN","38059","NULL","NULL","NULL","0.1160714286","0","0","0.1057","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","52700",2
"3744","O'More College of Design","Franklin","TN","37064","0.2308","NULL","25","0.4897959184","0","0","0","0","0","0","0","0","0.7586","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",1
"3745","Tennessee College of Applied Technology-Paris","Paris","TN","38242","NULL","NULL","NULL","0.0916334661","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","38700",2
"3746","Plaza Beauty School","Memphis","TN","38117-4822","NULL","NULL","NULL","0.6923076923","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","36600",3
"3747","Tennessee College of Applied Technology-Pulaski","Pulaski","TN","38478-0614","NULL","NULL","NULL","0.0984848485","0","0","0.4716","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","47600",2
"3748","Rhodes College","Memphis","TN","38112-1690","0.5014","680","30","0.7155963303","0.0165","0","0","0.1515","0","0","0.0744","0","0.75","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","70400",1
"3749","Tennessee College of Applied Technology-Ripley","Ripley","TN","38063","NULL","NULL","NULL","0.1134020619","0.0513","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","42500",2
"3750","Roane State Community College","Harriman","TN","37748","0.993","NULL","20","0.1342857143","0.0066","0","0","0","0","0","0","0.0706","NULL","27800","34800","37200","49900",2
"3751","Tennessee College of Applied Technology-Crump","Crump","TN","38327","NULL","NULL","NULL","PrivacySuppressed","0","0","0.0443","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","40700",2
"3752","Southwest Tennessee Community College","Memphis","TN","38103","1","460","23","0.04960111","0.054","0","0.1034","0.0047","0","0","0","0.0031","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","44500",2
"3753","Tennessee College of Applied Technology-Shelbyville","Shelbyville","TN","37160-3629","NULL","NULL","NULL","0.0533980583","0.1643","0","0.0362","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","51200",2
"3754","Sewanee-The University of the South","Sewanee","TN","37383-1000","0.614","650","29","0.75","0.0149","0","0","0.0806","0.0119","0","0.0328","0","0.8571","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","54900",1
"3755","Tennessee College of Applied Technology-Oneida-Huntsville","Huntsville","TN","37756-4149","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed",2
"3756","Tennessee College of Applied Technology-Crossville","Crossville","TN","38555","NULL","NULL","NULL","0.0692640693","0.0556","0","0.0278","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","41700",2
"3757","Tennessee College of Applied Technology-McMinnville","McMinnville","TN","37110","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","42700",2
"3758","Tennessee College of Applied Technology-Jackson","Jackson","TN","38301","NULL","NULL","NULL","0.0692307692","0","0","0.0403","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","48800",2
"3759","Tennessee College of Applied Technology-Knoxville","Knoxville","TN","37919","NULL","NULL","NULL","PrivacySuppressed","0","0","0.013","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","40200",2
"3760","Tennessee College of Applied Technology-Whiteville","Whiteville","TN","38075-0489","NULL","NULL","NULL","PrivacySuppressed","0","0","0","0","0","0","0","0","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","42100",2
"3761","Pellissippi State Community College","Knoxville","TN","37933-0990","1","520","21","0.1358325219","0.0796","0.0053","0.1585","0","0","0","0","0","NULL","28600","30800","37400","47300",2
"3762","Southern Adventist University","Collegedale","TN","37315-0370","0.4926","550","24","0.4288135593","0.0232","0.0039","0.0019","0.0347","0.0058","0","0.0077","0","0.5456","37400","40900","49700","59900",1
"3763","Southern College of Optometry","Memphis","TN","38104-2211","NULL","NULL","NULL","PrivacySuppressed","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","PrivacySuppressed","PrivacySuppressed","PrivacySuppressed","126700",1
"3764","Tennessee Wesleyan College","Athens","TN","37303","0.8239","490","23","0.4887218045","0.0255","0","0","0.0298","0.017","0","0.0128","0","0.4371","32000","39500","43200","56600",1
"3765","The University of Tennessee-Chattanooga","Chattanooga","TN","37403-2598","0.7367","580","24","0.3124362895","0.0113","0.0476","0.0128","0.0476","0.0045","0","0.0295","0","0.3946","39600","41500","43900","56100",1
